,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
62,17035,PERNOD RICARD USA,3625,Absolut 80 Proof,16.99,12.59,750.0,45969,578749.7099999987,214402.4899999724,34142.0,600647.5799999262,26879.540000002617,123780.21999999997,21897.86999992747,3.645710184985705,0.7427179185973156,1.0378365113995953
63,8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,34.99,23.97,750.0,24088,577389.3600000012,177505.51999999638,12996.0,472551.0399999764,1451.8499999999565,48347.26,-104838.32000002475,-22.1856077176404,0.5395217535702425,0.8184269969920739
64,12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,29.99,22.55,750.0,25540,575926.9999999952,268310.11999996845,16552.0,511159.4799999505,13034.880000001185,123880.96999999999,-64767.52000004472,-12.670706997364306,0.6480814408770555,0.8875421364165159
65,7239,REMY COINTREAU USA INC,5242,Cointreau Liqueur,29.99,22.05,750.0,25361,559210.0499999939,281759.61999996385,19548.0,606580.5199999425,15392.640000001256,16978.669999999995,47370.46999994863,7.809428169561581,0.7707897953550727,1.0847096185055136
66,7239,REMY COINTREAU USA INC,4722,Remy Martin VSOP Cognac,34.99,27.77,750.0,19910,552900.6999999961,152137.6100000032,12733.0,458571.66999998374,10028.210000000327,16978.669999999995,-94329.03000001237,-20.57018262816273,0.6395278754394776,0.8293924569095082
67,4425,MARTIGNETTI COMPANIES,6967,Santa Margherita Pnt Grigio,19.99,11.89,750.0,46257,549995.7299999988,139533.6800000004,31582.0,641068.5399999727,3540.8699999999767,144929.24,91072.80999997386,14.20640763310234,0.6827507188101261,1.1655882128393507
68,8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,24.99,19.83,1750.0,27479,544908.5699999994,237980.83999997246,21963.0,559456.3699999477,40354.089999994736,18544.489999999998,14547.799999948358,2.6003457606443408,0.7992648931911641,1.0266976898527185
69,1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,38.99,28.02,1750.0,19219,538516.3799999909,266270.0899999749,13196.0,509034.0399999621,24249.539999999575,68601.68000000001,-29482.34000002884,-5.7918209163440295,0.6866122066704823,0.9452526587955795
70,3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,25.99,18.51,750.0,28421,526072.7099999951,225175.6299999786,18353.0,491944.46999995655,14452.920000001252,257032.07000000007,-34128.240000038524,-6.937417143858034,0.6457548995461103,0.9351263820546045
71,3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,15.99,11.76,750.0,44330,521320.7999999928,201307.14999997773,31228.0,509624.7199999396,24585.27000000292,8549.550000000001,-11696.080000053218,-2.295037807438894,0.7044439431536206,0.9775645245690304
72,3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,9.99,5.44,750.0,94779,515597.76000000985,112773.19000002208,60416.0,557541.2199999493,6779.139999999811,61966.909999999996,41943.459999939485,7.522934358098814,0.6374407832958778,1.0813491897248326
73,3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,29.99,22.83,750.0,22352,510296.16,233484.80999997922,16682.0,507362.1799999637,13136.820000000811,30234.42000000001,-2933.980000036303,-0.5782811797356502,0.7463314244810307,0.9942504368442899
74,12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,39.99,31.99,1750.0,15805,505601.95000000834,259354.8899999739,12314.0,458099.859999966,22628.32999999968,123880.96999999999,-47502.09000004234,-10.369374485302368,0.7791205314773806,0.9060484438399782
